group_id,primary,source,reference,jesus_words,title,pullquote,core_message,context,parallels_refs,notes
1000,Y,Matthew,Matthew 3:15,Let it be so now; it is proper for us to do this to fulfill all righteousness.”,The Baptism of Jesus,The Messiah steps into John's water. The one who needs nothing chooses solidarity with those who need everything.,Jesus enters John's immersion not to be cleansed of sin but to align himself publicly with the renewal movement calling Israel back to God.,"John's immersion in the Jordan was not a symbol. It was the entry ritual of a renewal movement — the wilderness community fulfilling Isaiah 40:3, preparing the way of the Lord. When Jesus walks into that water, he is doing something specific and political. He is publicly identifying with John, with the Nazarene / Essene / Ebionim stream, and with the covenant renewal they represent. John protests because he sees the hierarchy backwards. Jesus corrects him: this is what right alignment looks like. Righteousness — *tzedakah* in Hebrew — is not moral perfection. It is right relationship, right standing, doing what the moment requires. And this moment requires that the teacher take his place among those already turning back to God.

Mark, the earliest gospel, gives no protest and no explanation — Jesus simply comes and is immersed. Matthew adds this exchange to answer a problem the later church had already begun to feel: if Jesus is sinless, why did he need John's immersion? The answer he supplies is not doctrinal but relational. Baptism in living water had already replaced the altar in the wilderness community — prayer, repentance, and immersion were the way sins were dealt with, without a drop of blood. Jesus steps into that stream and endorses it with his own body. The heavens open on a man who has just publicly refused the temple economy and cast his lot with the movement in the desert.

The Gospel of the Ebionites, preserved by Epiphanius (*Panarion* 30.13.7-8), gives the exchange in near-identical form: *Suffer it; for thus it is fitting that everything should be fulfilled.* Same voice, same framing — an early independent witness that this scene traveled with the earliest Jewish-Christian community around James.",Matthew 3:15 | Q 3:21–22 | Hebrews 2:1–2; Hebrews 3:2–4 | Ebionites Panarion 30.13.7-8,
1000,N,Ebionites,Gospel of the Ebionites (Panarion 30.13.7-8),Suffer it; for thus it is fitting that everything should be fulfilled.,The Baptism of Jesus,The Messiah steps into John's water. The one who needs nothing chooses solidarity with those who need everything.,Jesus enters John's immersion not to be cleansed of sin but to align himself publicly with the renewal movement calling Israel back to God.,"John's immersion in the Jordan was not a symbol. It was the entry ritual of a renewal movement — the wilderness community fulfilling Isaiah 40:3, preparing the way of the Lord. When Jesus walks into that water, he is doing something specific and political. He is publicly identifying with John, with the Nazarene / Essene / Ebionim stream, and with the covenant renewal they represent. John protests because he sees the hierarchy backwards. Jesus corrects him: this is what right alignment looks like. Righteousness — *tzedakah* in Hebrew — is not moral perfection. It is right relationship, right standing, doing what the moment requires. And this moment requires that the teacher take his place among those already turning back to God.

Mark, the earliest gospel, gives no protest and no explanation — Jesus simply comes and is immersed. Matthew adds this exchange to answer a problem the later church had already begun to feel: if Jesus is sinless, why did he need John's immersion? The answer he supplies is not doctrinal but relational. Baptism in living water had already replaced the altar in the wilderness community — prayer, repentance, and immersion were the way sins were dealt with, without a drop of blood. Jesus steps into that stream and endorses it with his own body. The heavens open on a man who has just publicly refused the temple economy and cast his lot with the movement in the desert.

The Gospel of the Ebionites, preserved by Epiphanius (*Panarion* 30.13.7-8), gives the exchange in near-identical form: *Suffer it; for thus it is fitting that everything should be fulfilled.* Same voice, same framing — an early independent witness that this scene traveled with the earliest Jewish-Christian community around James.",Matthew 3:15 | Q 3:21–22 | Hebrews 2:1–2; Hebrews 3:2–4,"Epiphanius, Panarion 30.13.7-8"
1001,Y,Matthew,Matthew 4:4-10,"It is written: ‘Man shall not live on bread alone, but on every word that comes from the mouth of God.’ It is also written: ‘Do not put the Lord your God to the test.’ Away from me, Satan! For it is written: ‘Worship the Lord your God and serve him only.’”",Jesus is Tempted,"The devil in the desert is the ego. Each temptation targets lack, attachment, and control. Jesus answers each with trust.",Jesus's wilderness temptation is an allegory of the ego confronted and overcome by complete trust in God.,"Before Jesus spoke a single public word, he endured forty days alone in the Palestinian desert — an ordeal most people in the ancient world simply wouldn't survive. This wasn't accidental. It appears to have been a deliberate initiation ritual, likely connected to his community among the Nazarenes, designed to forge something in him through suffering and solitude.

Tellingly, the Gospel of Mark — the earliest gospel — doesn't record the temptation dialogue at all. No witness was present. Nobody could have known what Jesus said. The detailed conversation with ""the devil"" in Matthew and Luke is therefore best understood as a later theological narrative, an allegory encoding Jesus's inner experience.

The ""devil"" in this story represents the ego — HaSatan, the adversary, the accuser within. Each temptation targets a core ego-belief: lack, attachment, and the need for control. Jesus overcomes each by trusting in the eternal nature of God.",Matthew 4:4-10; Luke 4:4-27 | Thomas 31 | Q 4:1–13,
1001,N,Luke,Luke 4:4-27,"It is written: ‘Man shall not live on bread alone.’ It is written: ‘Worship the Lord your God and serve him only.’ It is said: ‘Do not put the Lord your God to the test.’ The Spirit of the Lord is on me, because he has anointed me to proclaim good news to the poor. He has sent me to proclaim freedom for the prisoners and recovery of sight for the blind, to set the oppressed free, to proclaim the year of the Lord’s favor. Today the scripture is fulfilled in your hearing. Surely you will quote this proverb to me: ‘Physician, heal yourself!’ And you will tell me, ‘Do here in your hometown what we have heard that you did in Capernaum.’ Truly I tell you, no prophet is accepted in his hometown. I assure you that there were many widows in Israel in Elijah’s time, when the sky was shut for three and a half years and there was a severe famine throughout the land. Yet Elijah was not sent to any of them, but to a widow in Zarephath in the region of Sidon. And there were many in Israel with leprosy in the time of Elisha the prophet, yet not one of them was cleansed – only Naaman the Syrian.”",Jesus is Tempted,"The devil in the desert is the ego. Each temptation targets lack, attachment, and control. Jesus answers each with trust.",Jesus's wilderness temptation is an allegory of the ego confronted and overcome by complete trust in God.,"Before Jesus spoke a single public word, he endured forty days alone in the Palestinian desert — an ordeal most people in the ancient world simply wouldn't survive. This wasn't accidental. It appears to have been a deliberate initiation ritual, likely connected to his community among the Nazarenes, designed to forge something in him through suffering and solitude.

Tellingly, the Gospel of Mark — the earliest gospel — doesn't record the temptation dialogue at all. No witness was present. Nobody could have known what Jesus said. The detailed conversation with ""the devil"" in Matthew and Luke is therefore best understood as a later theological narrative, an allegory encoding Jesus's inner experience.

The ""devil"" in this story represents the ego — HaSatan, the adversary, the accuser within. Each temptation targets a core ego-belief: lack, attachment, and the need for control. Jesus overcomes each by trusting in the eternal nature of God.",Matthew 4:4-10; Luke 4:4-27 | Thomas 31 | Q 4:1–13,
1002,Y,Matthew,Matthew 4:17,"Repent, for the kingdom of heaven has come near.”",The Kingdom Has Come Near,Turn — and you are already inside it. The kingdom is not a place you go. It is a reality you enter by facing the right direction.,Jesus's opening message is that the kingdom of God is present and available now to anyone willing to turn their whole heart toward it.,"This one sentence is the whole gospel of Jesus in miniature, and it is the message he opens his ministry with. *Metanoia* — the Greek word translated repent — does not mean feel guilty, do penance, or say a sinner's prayer. It means a transformation of consciousness, a turning of the mind and heart. And the kingdom of heaven has not arrived on a schedule you missed. It has come near. It is at hand. When you turn, you are in it. The prodigal son didn't need to earn his way back — the moment he turned around, the father was already there. Jesus is not announcing a future rescue. He is announcing that the reality of God is already breaking through, and the only thing separating anyone from it is the direction they are facing.

Matthew phrases it kingdom of *heaven*; Mark and Luke say kingdom of *God*. Matthew's Jewish audience avoided writing the divine name, so heaven is a reverent substitute — the two phrases mean the same thing. And Jesus picks up John's line word for word (Mt 3:2). He does not distance himself from his teacher; he takes up his message and carries it forward. The kingdom Jesus preaches is the one Thomas 113 makes explicit — spread out upon the earth, and people do not see it. Turn, and you see it. That is the entire invitation.",Matthew 4:17,
1003,Y,Matthew,Matthew 4:19,"Come, follow me and I will send you out to fish for people.”",Fishers of People,Drop the nets you know. Take up the net that gathers hearts. The invitation is not to a job. It is to a life.,Jesus calls his first disciples out of their trade and into the work of gathering people into the kingdom.,"The invitation is stark and immediate. No credentials required. No theology exam. Just a call to leave what you know and follow. And what Peter and Andrew leave is not incidental — it is their livelihood, their family business, their identity. This is the *aparneomai*, the self-disowning, that Jesus will name later. Discipleship begins the moment you unhook your identity from what you own and what you do. The Greek verb *deute* — come — is continuous. It is not a one-time altar call. It is a way of walking that begins with a single step and never quite ends.

The phrase fishers of people echoes Jeremiah 16:16, where God promises to send fishers to gather Israel back from exile. Jesus is not inventing a metaphor. He is stepping into a prophetic image the fishermen would have known from the synagogue. The wilderness community around him already spoke of gathering the lost sheep of Israel back into the covenant. Jesus is not building a religion or recruiting for an institution that does not yet exist. He is calling ordinary working people to join a renewal movement — the same movement John was preparing the way for. The talmid becomes like the rabbi. And this rabbi's first move is to invite Galilean fishermen into a work most rabbis would have thought them unfit for.",Matthew 4:19,
1004,Y,Matthew,Matthew 5:3-12,"Blessed are the poor in spirit, for theirs is the kingdom of heaven. Blessed are those who morn, for they will be comforted. Blessed are the meek, for they will inherit the earth. Blessed are those who hunger and thirst for righteousness, for they will be filled. Blessed are the merciful, for they will be shown mercy. Blessed are the pure in heart, for they will see God. Blessed are the peacemakers, for they will be called children of God. Blessed are those who are persecuted because of righteousness, for theirs is the kingdom of heaven. Blessed are you when people insult you, persecute you and falsely say all kinds of evil against you because of me. Rejoice and be glad, because great is your reward in heaven, for in the same way they persecuted the prophets who were before you.”",The Beatitudes,The Beatitudes aren't wall art. They're a portrait of the community Jesus was already living inside.,"The Beatitudes describe the character of people already inside the kingdom, embodying heaven's reality on earth.","The Sermon on the Mount is where Jesus lays out his most concentrated teaching — and he opens it not with rules, but with blessings. Each beatitude describes a character quality, and promises that living this way puts you inside the kingdom of God.
This wasn't abstract theology. Jesus was speaking directly to his community — the Ebionim, the poor ones — people who were already living in voluntary poverty, sharing everything, and being persecuted for it. ""Blessed are the poor in spirit"" and ""blessed are the meek"" weren't inspirational phrases on a wall. They were a direct affirmation of how his community was actually living.
Each beatitude is also a reflection of heaven's nature. In heaven there is no lack, so we help the needy. In heaven there are no enemies, so we make peace. In heaven there is no judgment, so we show mercy. Jesus wasn't just handing out compliments — he was painting a picture of what God's reality looks like, and calling his followers to embody it here on earth.
The closing beatitudes about persecution are particularly pointed. Jesus's Nazarene community was being rejected by mainstream Judaism and living on the margins of society. Blessing those who are persecuted for righteousness wasn't just comfort — it was validation. You're not losing. You're walking the narrow road.
The entire Sermon on the Mount, and the Beatitudes especially, represent the ""Edenic ideal"" — the kingdom of heaven made visible through how people treat each other. Not a future reward system, but a present way of being.","Matthew 5:3-12 | Thomas 54, 68, 69 | Q 6:20–26",
1005,Y,Matthew,Matthew 5:13-16,"You are the salt of the earth. But if the salt loses its saltiness, how can it be made salty again? It is no longer good for anything, except to be thrown out and trampled underfoot. You are the light of the world. A town built on a hill cannot be hidden. Neither do people light a lamp and put it under a bowl. Instead, they put it on its stand, and it gives light to everyone in the house. In the same way, let your light shine before others, that they may see your good deeds and glorify your Father in heaven.”",Salt and Light,You are the light. Not Him. You. The kingdom isn't what you believe. It's what you do.,Ordinary people are the mechanism by which God's kingdom becomes visible on earth.,"Right after the Beatitudes, Jesus makes a bold declaration: you are the salt of the earth and the light of the world. Not Him. You.
He's telling ordinary people — fishermen, peasants, the poor ones of his community — that they are the mechanism through which God's kingdom becomes visible on earth. A lamp doesn't get lit and then hidden under a bowl. Light is meant to be seen. 
We are expressions of God. The same love and compassion God pours into us, we are called to pour into each other. Our care for one another isn't separate from God's care for us — it is God's care, flowing through human hands.
Jesus is saying the kingdom isn't what you believe. It's what you do. Let people see it.","Matthew 5:13-16 | Thomas 32, 77 | Q 11:33; Q 14:34–35",
1006,Y,Matthew,Matthew 5:17-20,"Do not think that I have come to abolish the Law or the Prophets; I have not come to abolish them but to fulfill them. For truly I tell you, until heaven and earth disappear, not the smallest letter, nor the least stroke of a pen, will by any means disappear from the Law until everything is accomplished. Therefore anyone who sets aside one of the least of these commands and teaches others accordingly will be called least in the kingdom of heaven, but whoever practices and teaches these commands will be called great in the kingdom of heaven. For I tell you that unless your righteousness surpasses that of the Pharisees and the teachers of the law, you will certainly not enter the kingdom of heaven.”",Law & Prophets,Jesus said not one letter of the law will pass. Paul said Christ is the end of the law. Both can't be right.,Jesus upholds the Ten Commandments reduced to loving God and neighbor as the eternal law.,"The 'law' Jesus refers to are the ten commandments. That was it. Simple. Eternal. Rooted in God's own nature. Jesus championed these laws as the path to eternal life and reduced them to their purest form: love God with all your heart, love your neighbor as yourself. Everything else, he said, hangs on these two. This is the law Jesus says will never pass away. 

This is significant because Paul calls the Ten Commandments themselves ""the ministry of death carved in letters on stone."" Jesus said whoever knows and ignores even the least commandment will be called least in the kingdom of heaven.  

Paul writes in Romans 10:4 that Christ is the end of the law - as Jesus, himself, specifically says he did not come to end the law. Paul says the law is abolished, but Jesus says not one letter will disappear from the law until heaven and earth themselves pass away. For the record. Heaven and earth are still here.

This is one of many instances where Paul contradicts Jesus. Paul never met Jesus. Paul never preached any teachings of Jesus.  Both cannot both be right. You have to decide who you will follow.",Matthew 5:17-20 | Thomas 11 | Q 16:16–17,
1007,Y,Matthew,Matthew 5:21-26,"You have heard that it was said to the people long ago, ‘You shall not murder, and anyone who murders will be subject to judgement.’ But I tell you that anyone who is angry with a brother or sister will be subject to judgment. Again, anyone who says to a brother or sister, ‘Raca’ is answerable to the court. And anyone who says, ‘You Fool!’ Will be in danger of the fire of hell. Therefore, if you are offering your gift at the altar and there remember that your brother or sister has something against you, leave your gift there in front of the altar. First go and be reconciled to them; then come and offer your gift. Settle your matters quickly with your adversary who is taking you to court. Do it while you are still together on the way, or your adversary may hand you over to the judge, and the judge may hand you over to the officer, and you may be thrown into prison. Truly I tell you, you will not get out until you have paid the past penny.”",Anger is Murder,The commandment doesn't start at the knife. It starts in the room where you called someone a fool.,"Jesus internalizes the commandment against murder to include contempt, insult, and unreconciled anger toward another person.","Jesus does not soften the sixth commandment. He deepens it. Murder does not begin with a weapon. It begins in the heart, in the moment you strip a person of their dignity — call them Raca (empty-headed), call them a fool, hold contempt for them, refuse to see them as a brother or sister made in the image of God. The commandment against killing was always about protecting the sacredness of another human being. Jesus traces the violation back to its source. Every act of violence begins as a private judgment. Deal with it there, before it grows. Reconciliation is not a nice add-on. It is more urgent than worship — leave your gift at the altar. Go find the person. Set it right. Then come back. God is not interested in your sacrifice while your brother is still bleeding from what you did to him.

This is one of the six antitheses in the Sermon on the Mount — you have heard it said, but I say to you. Jesus is not overturning the Torah. He is doing what the prophets always did: pushing past the letter to the intent. The scribes had built centuries of case law around when killing counted and when it didn't. Jesus cuts through all of it with one move — the whole law is love of God and love of neighbor, and contempt is where love is already broken. The word *Gehenna*, translated hell, is the burning trash valley outside Jerusalem — a hell-on-earth image for a life consumed by its own bitterness. Settle it now. Every day you carry the grudge, the fire gets bigger.",Matthew 5:21-26 | Q 12:58–59,
